date,retail_and_recreation_percent_change_from_baseline_Panama,grocery_and_pharmacy_percent_change_from_baseline_Panama,parks_percent_change_from_baseline_Panama,transit_stations_percent_change_from_baseline_Panama,workplaces_percent_change_from_baseline_Panama,residential_percent_change_from_baseline_Panama
2021-11-01,-2.0,21.0,-32.5,-8.0,-9.0,6.0
2021-11-02,-3.5,20.0,-37.0,-14.5,-20.5,7.0
2021-11-03,-30.5,-5.0,-36.5,-42.5,-70.0,18.5
2021-11-04,-21.0,1.5,-33.0,-38.5,-57.5,16.5
2021-11-05,-36.0,-15.0,-37.5,-48.0,-69.0,22.0
2021-11-06,-25.0,-8.0,-43.5,-28.5,-25.5,8.5
2021-11-07,-22.5,-12.5,-43.5,-25.5,-2.5,7.0
2021-11-08,-13.5,8.0,-38.0,-15.0,-6.0,9.0
2021-11-09,-6.0,15.0,-34.0,-14.0,-7.5,6.5
2021-11-10,-23.5,1.5,-38.5,-40.5,-65.0,23.0
2021-11-11,-11.0,14.0,-37.5,-14.0,-5.5,8.0
2021-11-12,-4.5,18.5,-31.0,-9.5,-2.0,7.5
2021-11-13,-2.0,16.0,-32.5,-9.5,0.5,6.0
2021-11-14,-6.0,4.0,-37.0,-20.0,5.0,7.0
2021-11-15,-1.0,21.5,-31.5,-7.5,-3.5,6.5
2021-11-16,-0.5,18.5,-33.5,-6.5,-6.0,6.5
2021-11-17,-8.0,15.5,-34.0,-9.0,-5.0,8.0
2021-11-18,-3.5,18.5,-31.5,-9.5,-5.5,7.5
2021-11-19,-3.0,15.0,-31.0,-7.5,-2.0,7.0
2021-11-20,-3.0,13.5,-34.5,-7.0,0.5,5.0
2021-11-21,-8.5,1.5,-39.0,-18.0,4.0,6.5
2021-11-22,-9.5,11.0,-35.5,-11.5,-4.5,8.5
2021-11-23,-10.0,10.5,-37.5,-12.5,-6.0,8.5
2021-11-24,-10.0,12.0,-33.0,-11.5,-5.0,9.0
2021-11-25,-6.5,17.0,-37.0,-10.5,-5.5,8.0
2021-11-26,0.5,20.0,-28.5,-3.0,-2.5,6.5
2021-11-27,3.0,22.5,-34.5,-4.0,0.0,3.0
2021-11-28,-0.5,7.5,-34.0,-17.0,5.0,4.5
2021-11-29,-16.5,4.5,-39.5,-38.0,-67.5,19.5
2021-11-30,-4.0,18.0,-39.5,-8.0,-4.5,6.5
2021-12-01,-0.5,24.5,-31.5,-4.0,-5.0,7.0
2021-12-02,3.5,27.5,-29.5,-6.5,-4.5,6.5
2021-12-03,4.5,25.5,-27.5,-2.5,0.0,6.0
2021-12-04,5.0,21.5,-32.5,-2.0,3.0,4.0
2021-12-05,6.0,14.0,-30.0,-10.0,12.0,4.5
2021-12-06,9.0,28.5,-22.0,-2.0,-2.5,5.0
2021-12-07,20.5,45.0,-17.5,2.5,-2.5,1.0
2021-12-08,-11.5,13.0,-25.5,-35.0,-68.0,18.0
2021-12-09,0.0,22.0,-27.5,-8.5,-0.5,6.0
2021-12-10,3.0,23.5,-20.0,-5.0,2.5,6.0
2021-12-11,3.5,20.0,-23.5,-3.5,7.5,4.0
2021-12-12,2.5,12.5,-24.5,-11.0,17.0,5.5
2021-12-13,4.5,25.0,-24.5,-6.0,0.5,6.0
2021-12-14,10.0,31.0,-26.0,-4.0,-1.5,4.5
2021-12-15,17.5,35.5,-23.0,2.0,0.5,3.5
2021-12-16,23.5,39.0,-22.0,2.5,-2.0,3.0
2021-12-17,17.0,33.5,-22.0,2.5,1.0,4.0
2021-12-18,15.5,28.0,-28.0,6.0,7.0,1.0
2021-12-19,20.5,21.0,-34.0,-0.5,20.0,2.0
2021-12-20,17.5,34.0,-24.0,2.5,-3.5,4.0
2021-12-21,23.5,43.0,-23.0,3.0,-6.0,3.0
2021-12-22,20.5,42.5,-22.0,4.0,-6.0,2.5
2021-12-23,27.5,62.0,-19.5,6.5,-6.5,1.5
2021-12-24,-1.0,60.0,-32.5,-11.5,-29.0,10.0
2021-12-25,-62.5,-43.0,-33.5,-53.5,-67.0,17.0
2021-12-26,-12.0,-6.5,-30.5,-24.5,2.0,6.5
2021-12-27,2.5,16.5,-26.0,-12.5,-9.0,8.5
2021-12-28,6.0,23.5,-24.5,-11.5,-11.5,7.5
2021-12-29,7.5,29.5,-24.0,-7.0,-10.5,6.5
2021-12-30,19.0,50.0,-25.0,-2.5,-12.0,3.5
2021-12-31,-4.5,50.5,-31.0,-18.5,-34.0,11.0
2022-01-01,-65.5,-48.0,-39.5,-59.5,-69.5,16.5
2022-01-02,-23.5,-13.0,-36.0,-31.0,-9.0,5.0
2022-01-03,-9.0,13.5,-30.5,-18.0,-12.0,9.5
2022-01-04,-8.0,16.0,-28.0,-18.0,-12.5,10.5
2022-01-05,-10.5,15.5,-27.5,-15.5,-11.5,11.0
2022-01-06,-9.5,17.0,-27.5,-17.5,-11.5,11.5
2022-01-07,-12.0,11.5,-31.0,-18.0,-9.5,12.5
2022-01-08,-17.0,5.5,-36.5,-19.5,-3.5,9.0
2022-01-09,-28.0,-13.5,-37.5,-33.5,-3.5,9.5
2022-01-10,-34.0,-7.5,-37.0,-47.5,-69.0,23.0
2022-01-11,-12.5,13.0,-30.5,-17.5,-12.0,10.5
2022-01-12,-16.0,8.5,-32.0,-18.0,-12.0,12.5
2022-01-13,-13.0,14.5,-30.0,-19.5,-12.5,13.0
2022-01-14,-8.0,17.0,-27.5,-16.0,-10.0,13.0
2022-01-15,-9.5,15.0,-31.0,-14.0,-1.5,9.5
2022-01-16,-16.0,0.5,-36.0,-25.5,4.0,9.0
2022-01-17,-9.0,18.5,-29.0,-16.0,-13.5,12.0
2022-01-18,-10.0,18.5,-29.0,-18.0,-15.0,13.0
2022-01-19,-14.5,13.0,-28.5,-18.0,-14.5,14.0
2022-01-20,-11.5,17.5,-29.5,-20.0,-15.0,14.0
2022-01-21,-12.0,16.5,-28.5,-19.0,-12.0,14.5
2022-01-22,-17.0,6.0,-33.5,-20.5,-4.5,11.5
2022-01-23,-22.0,-7.0,-33.0,-29.5,0.0,10.0
2022-01-24,-13.5,8.5,-29.0,-20.0,-12.5,13.5
2022-01-25,-12.5,10.5,-28.0,-20.0,-14.0,14.0
2022-01-26,-14.5,8.0,-28.0,-18.5,-12.0,14.0
2022-01-27,-10.5,13.0,-30.0,-18.5,-11.0,13.0
2022-01-28,-6.5,15.5,-26.0,-15.0,-7.5,12.5
2022-01-29,-6.5,13.5,-28.5,-13.5,0.5,8.0
2022-01-30,-13.5,1.0,-31.0,-23.0,6.0,7.0
2022-01-31,-5.5,16.5,-23.5,-13.5,-7.0,10.5
2022-02-01,-5.5,18.0,-21.0,-13.5,-8.0,11.0
2022-02-02,-9.5,12.5,-23.5,-13.0,-6.5,11.0
2022-02-03,-8.5,12.5,-26.5,-15.0,-6.5,11.0
2022-02-04,-5.5,16.0,-21.0,-11.5,-3.0,10.5
2022-02-05,-8.5,10.5,-26.5,-13.0,2.5,8.0
2022-02-06,-14.5,-3.0,-28.5,-24.5,5.5,7.0
2022-02-07,-9.5,10.5,-23.0,-12.5,-4.0,10.0
2022-02-08,-9.0,12.0,-21.5,-14.5,-6.0,10.0
2022-02-09,-13.0,7.5,-23.5,-14.0,-4.5,11.0
2022-02-10,-8.0,13.0,-24.5,-14.0,-5.0,10.5
2022-02-11,-4.0,14.5,-18.0,-9.5,0.0,9.5
2022-02-12,-6.0,12.0,-23.0,-11.5,4.0,6.5
2022-02-13,-10.5,3.0,-26.5,-21.0,9.0,6.0
2022-02-14,14.0,26.0,-15.5,-6.5,-1.0,6.5
2022-02-15,1.5,24.5,-19.5,-8.5,-2.5,7.0
2022-02-16,-1.0,21.0,-18.5,-5.5,-1.5,8.0
2022-02-17,1.5,22.5,-19.0,-7.0,-1.5,7.5
2022-02-18,4.5,25.5,-17.5,-3.0,2.5,6.5
2022-02-19,2.0,19.0,-21.5,-4.0,7.0,3.5
2022-02-20,-2.5,7.5,-26.5,-15.5,9.5,3.5
2022-02-21,-1.5,19.0,-20.0,-6.5,0.0,6.5
2022-02-22,-2.5,16.0,-19.0,-8.0,-1.5,7.0
2022-02-23,-6.0,12.5,-22.5,-7.5,0.5,7.5
2022-02-24,-2.0,16.5,-24.0,-6.5,0.0,6.5
2022-02-25,3.0,23.0,-22.0,-2.5,3.0,5.0
2022-02-26,-5.5,16.0,-29.5,-8.5,-0.5,2.5
2022-02-27,-16.0,-4.5,-30.0,-24.0,0.5,2.5
2022-02-28,-18.0,2.5,-24.5,-35.0,-55.0,13.5
2022-03-01,-32.0,-8.0,-39.5,-46.0,-71.0,19.0
2022-03-02,-8.5,11.0,-31.5,-11.0,-8.5,8.0
2022-03-03,-2.0,17.0,-28.0,-6.0,-1.5,8.0
2022-03-04,1.0,18.0,-25.0,-2.0,3.0,7.5
2022-03-05,1.0,17.0,-29.5,-1.0,9.5,6.0
2022-03-06,-1.5,12.0,-33.5,-12.0,15.5,7.0
2022-03-07,-0.5,22.0,-22.0,-1.5,1.5,6.5
2022-03-08,-2.5,19.5,-21.5,-3.0,1.0,7.0
2022-03-09,-10.5,11.5,-24.0,-4.5,3.0,8.5
2022-03-10,-7.0,13.5,-25.0,-4.5,3.5,8.5
2022-03-11,-5.5,11.0,-24.0,-2.0,7.5,8.0
2022-03-12,-1.5,13.0,-28.5,1.0,10.0,7.5
2022-03-13,-5.0,10.5,-33.0,-10.5,13.5,8.0
2022-03-14,-4.0,19.0,-22.5,0.0,5.0,8.0
2022-03-15,1.5,26.5,-20.5,2.0,4.5,7.0
2022-03-16,-5.0,20.0,-21.5,1.5,4.5,7.5
2022-03-17,-6.0,18.0,-24.0,-0.5,4.0,8.0
2022-03-18,-4.0,18.0,-20.5,4.0,9.0,7.0
2022-03-19,-2.0,16.0,-24.0,0.5,9.0,6.5
2022-03-20,-5.0,10.0,-29.5,-9.0,13.5,6.5
2022-03-21,-10.5,16.5,-23.5,2.0,7.0,8.0
2022-03-22,-9.5,18.5,-23.0,1.0,6.0,8.0
2022-03-23,-13.5,14.5,-22.0,0.5,7.5,8.0
2022-03-24,-7.0,16.5,-26.5,0.0,8.0,8.0
2022-03-25,-7.5,17.5,-20.0,2.0,12.5,7.0
2022-03-26,-7.0,13.0,-22.5,-3.0,10.5,7.5
2022-03-27,-13.0,6.0,-31.5,-12.0,14.0,7.5
2022-03-28,-13.0,11.5,-27.0,-3.0,8.0,10.0
2022-03-29,-8.5,17.5,-24.0,-1.0,9.0,8.0
2022-03-30,-6.0,19.5,-24.5,4.0,11.0,7.0
2022-03-31,-3.0,22.5,-23.0,2.5,12.5,6.0
2022-04-01,-4.5,16.5,-19.5,4.5,15.5,6.0
2022-04-02,-2.5,18.0,-24.0,1.0,10.5,6.5
2022-04-03,-7.5,10.0,-34.5,-10.0,12.5,7.5
2022-04-04,-13.5,12.0,-29.0,2.0,12.0,8.0
2022-04-05,-8.5,18.5,-25.0,2.5,10.5,7.5
2022-04-06,-13.0,11.5,-23.5,3.0,12.0,8.0
2022-04-07,-9.5,15.0,-25.5,2.5,12.5,7.5
2022-04-08,-9.0,11.0,-23.5,4.0,17.0,7.5
2022-04-09,-7.0,10.5,-32.5,-2.5,10.5,9.5
2022-04-10,-7.0,10.5,-28.5,-11.0,13.0,8.5
2022-04-11,-9.0,15.5,-23.5,4.5,14.0,8.0
2022-04-12,-5.5,18.0,-20.5,4.0,12.5,7.0
2022-04-13,0.0,23.0,-18.0,7.0,10.0,5.5
2022-04-14,10.0,44.0,-12.5,-2.0,-19.0,7.5
2022-04-15,-52.0,-20.5,-31.0,-52.5,-76.0,29.5
2022-04-16,-24.5,0.0,-29.5,-26.5,-32.5,11.0
2022-04-17,-15.0,-0.5,-42.5,-15.5,4.0,4.0
2022-04-18,-5.0,23.0,-25.0,8.5,13.0,6.0
2022-04-19,-6.0,20.5,-24.5,5.0,12.5,7.0
2022-04-20,-8.0,20.0,-23.0,5.5,13.5,7.0
2022-04-21,-6.0,23.0,-24.0,5.5,14.0,7.0
2022-04-22,-4.5,18.0,-22.0,8.0,17.5,7.0
2022-04-23,-3.5,15.0,-28.0,1.5,10.0,7.5
2022-04-24,-9.0,9.0,-37.5,-10.0,11.5,9.0
2022-04-25,-10.5,15.5,-27.5,4.0,16.5,8.5
2022-04-26,-10.5,15.0,-27.0,3.0,14.5,8.0
2022-04-27,-13.5,11.5,-29.5,5.0,15.0,8.0
2022-04-28,-6.0,18.5,-30.5,5.5,15.0,7.0
2022-04-29,1.0,25.0,-22.0,10.5,18.0,6.0
2022-04-30,2.0,23.0,-29.5,7.0,8.0,4.5
2022-05-01,-5.0,9.0,-34.0,-8.0,6.0,6.0
2022-05-02,-21.0,10.0,-33.5,-32.5,-68.0,22.0
2022-05-03,-7.5,23.0,-25.5,7.5,15.0,6.0
2022-05-04,-5.0,15.0,-29.0,9.0,14.5,7.5
2022-05-05,-4.5,16.5,-32.5,5.0,13.5,8.5
2022-05-06,-1.5,15.5,-27.5,8.5,17.5,8.0
2022-05-07,-1.0,12.5,-33.5,3.5,9.5,8.5
2022-05-08,-5.0,7.5,-36.5,-8.5,10.0,9.5
2022-05-09,-10.5,11.0,-30.5,3.5,14.0,9.5
2022-05-10,-9.0,13.5,-30.5,2.5,11.5,9.5
2022-05-11,-10.5,11.0,-32.0,4.0,12.5,9.5
2022-05-12,-6.0,17.5,-28.0,3.0,12.5,9.0
2022-05-13,2.5,21.5,-24.0,9.0,16.5,7.5
